snippet.textOrginal,roberta_neg,roberta_neu,roberta_pos,vader_neg,vader_neu,vader_pos,vader_compound
Imagine if copyright was forever and the descendants of the inventor charged every time someone wanted to use the *WHEEL* ...,0.26548684,0.6366791,0.09783401,0.443,0.557,0.0,-0.8385
"perhaps one day soon you, and many others, will realize that the copyright system (among other systems) is a scam to funnel money from creators (and their supporters) to people (and organizations) that are the parasites of humanity keeping the majority enslaved in a hostage-like situation",0.8813184,0.114242256,0.0044393325,0.075,0.925,0.0,-0.8381
i watch 5 minutes of this every day,0.042119615,0.6261752,0.33170512,0.112,0.828,0.061,-0.8369
The fatrat wants to know your location,0.42735735,0.55097306,0.021669583,0.208,0.792,0.0,-0.8362
Both are broken.,0.90737516,0.08699978,0.005625081,0.308,0.692,0.0,-0.836
aaAAAAAAAA,0.27972424,0.6157299,0.10454586,0.596,0.404,0.0,-0.8341
I don't really have too much of a problem with copyright laws except for the corrupt fact that you need money to affect you in the eyes of the law.,0.7032073,0.28214395,0.014648768,0.133,0.848,0.019,-0.8338
Ah yes “space communism”,0.14619574,0.6029341,0.2508701,0.183,0.717,0.1,-0.8323
"Videogame videos also show if the game is relevant to them (the viewer), and in a case regarding a highly awaited game (No Man's Sky), the viewers mostly found the game to be a waste of money. So yes, the product reviews of do affect sales of the product.",0.62511724,0.33012354,0.044759247,0.524,0.476,0.0,-0.8316
I love this and i love you Tom,0.0026648578,0.0073184655,0.99001664,0.306,0.694,0.0,-0.8316
"""Legal cameos."" I paused the damn video to sit there and laugh at Devin Stone's bit for a good minute!",0.40182388,0.3848787,0.21329746,0.281,0.719,0.0,-0.8316
28:25 dude just escaped quarantine,0.063057914,0.65556914,0.28137296,0.157,0.843,0.0,-0.8316
Imagine the piano claimed copyright  for using it's sound,0.48066986,0.48602298,0.033307154,0.212,0.788,0.0,-0.8316
Tom - this was fantastic! Thank you,0.0018101741,0.006190753,0.9919991,0.235,0.633,0.133,-0.8316
"The way it currently is, having no copyright law, like none whatsoever, would be better than what copyright law is on the books.",0.44521192,0.46793553,0.08685252,0.216,0.784,0.0,-0.8316
hahahhahahah that intro got me,0.1131594,0.34854296,0.53829765,0.277,0.59,0.133,-0.8303
Tired halfway,0.6963628,0.27251586,0.03112127,0.18,0.82,0.0,-0.8301
"Huh? Labled parts of a video? Interesting feature, YouTube!",0.0072264415,0.09303969,0.89973384,0.141,0.785,0.074,-0.8299
"""transformative
adjective

causing a marked change in someone or something.""

As long as the finished product is noticably different, you're good to go.",0.06596866,0.6000124,0.33401886,0.157,0.843,0.0,-0.8299
"20 years seems reasonable, 50 years seems generous.
So let's say 50 and hope they will make it 20 later.",0.028857663,0.426229,0.54491335,0.213,0.703,0.084,-0.8287
Patents last forever... more or less (Point in case: Insulin).,0.023179883,0.5339267,0.44289336,0.161,0.785,0.054,-0.8279
I love these big project videos!,0.0014897942,0.0072594276,0.99125075,0.116,0.854,0.029,-0.8275
"Tom, let's players don't wear clothes like that.",0.48477787,0.49381486,0.021407267,0.231,0.769,0.0,-0.8271
nice vid,0.008501035,0.098978125,0.89252084,0.42,0.58,0.0,-0.8271
Tom Scott is a treasure. 40 minutes felt like 15. Great job to everyone involved.,0.004144684,0.022423135,0.9734321,0.339,0.661,0.0,-0.8271
Yup,0.21091428,0.5076836,0.2814021,0.209,0.791,0.0,-0.8271
"50 years is a perfect number for copyright, and I hope one day the current broken system dies and is replaced with something reasonable like this.",0.38039136,0.41945463,0.20015396,0.242,0.579,0.179,-0.8271
"doesn't the ""if you can't afford an attorney, one will be provided to you"" apply for court cases regarding fair use?",0.44436476,0.5317005,0.023934744,0.15,0.708,0.142,-0.826
"4:03 Actually even then you need to watch out as you could be playing a modern, copyrighted arrangement of that song.",0.20465507,0.7550038,0.04034105,0.161,0.775,0.064,-0.8248
"15:47

‘I’m guessing they got a legal letter from Disney, before Disney realised what a PR disaster it would be to stop the internet from having access to Baby Yoda'


Finally a large corporation being smart for once.",0.4092055,0.45203042,0.13876405,0.145,0.833,0.022,-0.8248
"25:58 this one confuses me.

Why not? Where do copyright come into play?",0.86864334,0.1239784,0.0073783044,0.215,0.722,0.062,-0.8242
"I really don't agree with the photography aspects. If your expensive cameras make your business non-viable, find a new business.",0.91637915,0.07822745,0.005393422,0.439,0.561,0.0,-0.8225
Why YouTube copyright is broken? Disability unemployment.....Their works had been stolen and copied and unable to YouTube monetize because YouTube rating system which discriminates their characteristics or looks of characteristics.  This is 100% true.,0.7079617,0.25904384,0.032994453,0.129,0.871,0.0,-0.8225
Wonder whose apartment that is,0.050635614,0.8513861,0.097978316,0.173,0.793,0.034,-0.821
"I will say this reflects a misconception that is long standing. Copyright was never intended to protect creators, but businesses that in theory bankrolled those creators instead.",0.63166803,0.3436585,0.024673369,0.163,0.816,0.021,-0.8205
Do you know of The Tim Traveler channel? Like your vids and your opion dont agree with everything. Are you a parent?  For some the only thing to leave behind is a hit song and the royalty's of that. I agree its a mess tough and there should be a human side of it,0.7718325,0.21175289,0.016414471,0.068,0.891,0.041,-0.8186
I don’t know how I found you but this is awesome,0.003364993,0.019415211,0.97721976,0.385,0.615,0.0,-0.8176
just don't use music in your videos ez,0.58141667,0.39825442,0.020328924,0.349,0.651,0.0,-0.8176
"This video made me think of a law to possibly sort out courts. If the court systems required both parties to comply with the same lawyer budget, then they wouldn't be able to get the super expensive lawyers against small cases",0.48362398,0.4731917,0.04318427,0.18,0.776,0.044,-0.8176
2:36 having a tiny bit of someones music in a video should not give someone’s permission to take someones living,0.69046485,0.2933987,0.016136445,0.385,0.615,0.0,-0.8176
"I like how taking this video down for copyright would be as controversial as allowing it to stay up, despite clearly abusing the loopholes of copyright.",0.28479004,0.5392139,0.175996,0.182,0.788,0.03,-0.8176
"If you don't want your signalling to be copied by other people, don't share it with other people.",0.53122973,0.45010462,0.018665593,0.288,0.712,0.0,-0.8176
"At which point, the third company would get a very worrying phone call.
""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",0.7830518,0.20486647,0.012081711,0.245,0.703,0.052,-0.8176
"Claiming streaming is a substitute to playing a game, is about as wrong as claiming someone spoiling a movie and telling you how bad it is, is a substitute for watching it. It's not, it's action that causes you to choose not to consume it. That's what critique is. By it's very nature. The reason you didn't play those games was not because you skimmed through the videos and experienced the game in it's entirety. But because you skimmed the videos and were shown those weren't interesting games enough for you to buy. Had they been, you would've bought them. Because good games isn't something you can substitute by merely watching it.",0.6968969,0.26095462,0.042148486,0.333,0.667,0.0,-0.8176
How are you outside?,0.053484593,0.84104973,0.105465695,0.176,0.824,0.0,-0.8176
"honest question. I thought copyright law only applied when you are making money off of something (monetization or reselling products) but lets say I upload a dance video with an unlicenced audio track, does that still infringe on copyright? If so, why exactly? Because I'm still using someones work without permission?",0.6253662,0.3525258,0.02210802,0.484,0.516,0.0,-0.8171
"Came for the content, stayed for the GIF/JIF and ""emoji"" rant. Bravo!

However, perhaps consider filming a photography museum backdrop outside of tea time. 😉 And while we're on about that, why is a photography museum serving tea?",0.024922986,0.315784,0.659293,0.171,0.829,0.0,-0.8156
"We already do kinda live in magical, post scarcity star trek land it's just we never met the Vulcans and the Ferengi are in charge of our planet.",0.1324513,0.70943654,0.1581122,0.553,0.447,0.0,-0.8139
"Never thought learning about boring laws will be this much entertaining, how about you check with the ministry of education to enhance the curriculum.. maybe the world will more educated people that make decent living than people running and kicking a ball :-)",0.29164535,0.3889068,0.3194478,0.236,0.588,0.176,-0.813
11:55 what a legend,0.008248722,0.1790415,0.81270975,0.359,0.641,0.0,-0.8126
I HATE IT I HATE,0.9743456,0.018809447,0.006844908,0.881,0.119,0.0,-0.8126
"50 year copyright expiration is a bad idea. Copyright should expire on the death of the artist, not before, not after.",0.90230685,0.09099971,0.006693418,0.291,0.709,0.0,-0.8126
"I think (i'm not a lawyer) a company has to defend a trademark or else they lose the right to defend it if it becomes genericized. 

I wonder if that could be expanded to for types of media that aren't defended by whole segments of industries, (eg gifs, twitch streamers, etc...)  Like, an industry has to defend it before these forms of ""art"" become too pervasive and commonplace.

I think that would last a while before it would even be attempted to be defended, and most things would just slide by for a long time...

I think sometimes just more strictly defining something, in the law, even though the whole overall law is still ambiguous, is enough to dissuade legal action...",0.2944095,0.6012692,0.1043213,0.126,0.822,0.052,-0.8126
Not one take,0.3934519,0.5509722,0.055575863,0.303,0.697,0.0,-0.8126
11:54 lmao,0.14813448,0.6219346,0.22993094,0.267,0.654,0.079,-0.81
I thought YouTube was broken when I saw the video length.,0.9349451,0.06093081,0.0041239904,0.531,0.23,0.239,-0.81
"As someone who loves to sample but not cover, I think fair use should be expanded in music but reproduction and full original recording copyright is fine at dead+70",0.11104298,0.56070065,0.3282564,0.2,0.702,0.099,-0.8098
How is copy and paste a thing?,0.54501677,0.43330425,0.021678934,0.086,0.914,0.0,-0.8095
ip is theft,0.80461013,0.18062916,0.014760706,0.757,0.243,0.0,-0.8091
I really can't the difference in the noun or verb of dispute. Is this a British thing?,0.6367641,0.34205854,0.021177363,0.171,0.792,0.036,-0.8088
"... So, we also should soon be able to use the Apple logo on any product we create? 🤨 Time to make some knock-offs!",0.008001462,0.19482052,0.797178,0.378,0.622,0.0,-0.8074
I never/rarely comment but very well done! Really appreciate your work.,0.0041347025,0.02205512,0.97381014,0.328,0.672,0.0,-0.8074
"My only problem with the patent argument at the end is that it is possible and good to improve on inventions, whereas the same process doesn't really happen with songs.",0.49302405,0.42931676,0.07765916,0.067,0.899,0.034,-0.8074
"Can we just talk about the fact that LegalEagle just appeared out of nowhere in this video acting like a vampire being fought off with “no copyright infringement intended” as the cross?
I didn’t know how much I needed this.",0.71663326,0.24667752,0.036689162,0.207,0.687,0.106,-0.8066
40:14 when doing English right is too important for you.,0.17311853,0.68794155,0.13893989,0.356,0.562,0.083,-0.8061
"Good video but am I the only one who didn't know mumbo jumbo real name was olly... like what!... I thout hed be more like a joey or idk not olly


I'm not making fun of his name I'm just surprised it's so different from what I was imagining",0.4571591,0.44001815,0.10282276,0.189,0.679,0.132,-0.8047
"Great video on explaining YT's Copyright system. I get so many folks who find my YT channel and use the music/audio but fail to understand the Copyright/attribution license and how the system works.

They come back and make comments that they got a Copyright claim on YT, as if it was MY fault. Even more annoying is someone NOT reading the Description/info under the video (about the license) and then asking me if they can use the audio or asking ""Is it really free to use?""

Oh well...",0.8013842,0.16975024,0.02886549,0.429,0.571,0.0,-0.8047
Quite a while since youtube has sent me to this place..,0.24570721,0.6550642,0.09922857,0.182,0.75,0.068,-0.8047
Well made video.,0.012289718,0.21079616,0.7769141,0.179,0.753,0.068,-0.8036
"11:52 - LegalEagle, is that you?",0.0377947,0.9021842,0.060021155,0.195,0.805,0.0,-0.8028
"re: ""GIF"" pronunciation - there's another file-format called JPEG Interchange Format. JIF.
JIF exists. Twitter uses a variant called JFIF (which is awful and can't be previewed on Discord, but that's digressing).
If you pronounce ""GIF"" as ""JIF"", you're phonetically conflating two separate interchange formats. Unless you want people to use the European phoneme for J and call the format ""YIFF"", *BUT I HIGHLY DOUBT YOU ACTUALLY WANT THAT.*",0.61314434,0.32028133,0.066574305,0.218,0.782,0.0,-0.8025
I think one of the biggest issues with copyright law and YouTube is how you can have a 2 hour long video and someone can claim all of the revenue from that video for a total of 5 seconds of infringement.,0.92741597,0.066870965,0.0057130987,0.188,0.779,0.033,-0.8022
"Giving all the power to the people with money? Sounds like standard US practice.

Signed,
A disgruntled US citizen",0.72378206,0.25940186,0.016816143,0.291,0.709,0.0,-0.802
"Thing is, have you ever tried getting permission for a music track as a part content creator that isn't big enough for monitization or is just making a video shits n giggles. 
They say ""Make your own music"" that is not easy.",0.67956454,0.27742556,0.043009907,0.477,0.523,0.0,-0.802
Really glad we got to see Jay Foreman's other takes on getting that scream just right. Truly a master at work.,0.002357818,0.03395145,0.96369076,0.217,0.783,0.0,-0.802
If i use a sound of a rare bird and trademark it can i claim anyone else who uses it?,0.08496782,0.86325055,0.051781576,0.247,0.753,0.0,-0.802
"Good video! However,,, I don’t understand what Tom was doing in Evan Edinger’s bedroom. Like, I don’t know what point that was making. It was something fun to notice though!",0.22250076,0.44462207,0.3328772,0.175,0.769,0.056,-0.801
.......I think it would be both,0.09844306,0.8043285,0.09722852,0.405,0.595,0.0,-0.7999
"Wait, so memes are illegal?",0.43538505,0.51447123,0.050143737,0.121,0.772,0.107,-0.7985
"I can imagine the son/daughter some big shot exec from a big company seeing this and thinking ""yes, we could make money form this...""
And they proceed to sue everyone",0.44938543,0.46616545,0.08444911,0.475,0.451,0.073,-0.798
I really appreciate this cornucopia of information about copyright law. Thank you for making this video!,0.0019195953,0.0137762595,0.98430413,0.367,0.633,0.0,-0.7965
"but do you get credit for your ""xnopyt aaaaaaajjjjjj"" clip?",0.23859477,0.71524847,0.046156734,0.415,0.585,0.0,-0.7964
"I don't often like YouTube videos but the cameo from the legal eagle was amazing. Earned that like, cool video.",0.0065916334,0.033424325,0.959984,0.172,0.828,0.0,-0.7964
Fun fact: Stravinsky's Rite of Spring is still not under the public domain.,0.09527162,0.61514604,0.2895823,0.403,0.597,0.0,-0.7964
There's another way to get copyright down to 20 years after creation. Bribe the Supreme Court to judge any copyright law that protects works over 20 years after creation unconstitutional. (I have no idea how the UK equivalent would be phrased.) You could make an argument over natural rights to circumvent any missing positive (= written down) law.,0.3021255,0.60218865,0.095685825,0.207,0.793,0.0,-0.7964
LETS GO JAY FOREMAN,0.019474445,0.637577,0.34294853,0.163,0.75,0.087,-0.7964
any chance of a follow up on how many claims this video got?,0.1342739,0.84366214,0.022063985,0.151,0.78,0.069,-0.7958
"I love how English this video is. It's almost palpable during the ""Criticism and Review"" sections. Well done on the video.",0.002572871,0.017745279,0.97968185,0.355,0.55,0.095,-0.7955
28:17 aaa Tom turned himself into a Pikachu!!!,0.010366507,0.34102103,0.6486125,0.101,0.899,0.0,-0.7942
All copyrights are absurd and should be demolished from the ground up. Companies that abuse YouTubers and the system must be severely punished. Intellectual copyright should not exist as it is absurd to claim ideas and anything non-physical. /watch?v=SXZaOy3gMa4,0.9276818,0.067207,0.005111154,0.421,0.579,0.0,-0.7906
Would've been so funny when someone actually copyright claimed this video unironically,0.15438832,0.4754836,0.3701281,0.438,0.562,0.0,-0.7906
"What kind of special person makes chiptunes music, listens to it, or takes good music and makes it into a chiptunes abomination?",0.8586509,0.128933,0.0124160135,0.438,0.562,0.0,-0.7906
3:00,0.1902698,0.5716426,0.2380876,0.29,0.645,0.065,-0.7906
"Sounds like a strong argument for it being ""Easier to ask permission than to ask forgiveness"" instead of the more often quoted maxim to the opposite.",0.24298328,0.65628403,0.10073268,0.416,0.462,0.122,-0.7906
"""The Law"" doesn't exist in a vacuum. It can and in this case should be criticised. I do not like how this video adopts a purely neutral, fatalistic and passive point of view instead of being rightfully angry.",0.90460175,0.088966765,0.006431483,0.244,0.675,0.081,-0.7899
It's like a Tom Scott movie!,0.070979096,0.4370579,0.49196303,0.062,0.914,0.024,-0.7897
"""I said 'disputes', I didn't say 'disputes'.""


This is possibly the single most British thing I've heard in my entire life.",0.4027421,0.41746888,0.17978904,0.145,0.783,0.072,-0.7896
Boo! 🍅   Stooge.,0.84510577,0.13402404,0.02087021,0.225,0.775,0.0,-0.7895
Great video.,0.0058510606,0.05888537,0.9352636,0.148,0.852,0.0,-0.7876
But no one complains when they make money off someone’s art,0.17906523,0.62604123,0.19489354,0.097,0.903,0.0,-0.7876
"It doesn’t matter if it’s fair use? People who get a DMCA takedown notice can file a counter-notice. Thus in a non-broken system, YouTube would make the video unavailable just in case, but also review the video and only copyright strike someone if the DMCA takedown notice is valid. If it isn’t valid, like if the video is fair use, YouTube should just make the video available again, with no other actions taken against the creator of the video.",0.36344942,0.5743113,0.062239178,0.24,0.76,0.0,-0.7865
"Ja, es ist wieder Zeit für so ein Video...


Rezo scheint älter geworden zu sein und hat wohl seine Haarfarbe geändert",0.1607273,0.7671625,0.07211022,0.188,0.733,0.078,-0.7851
Ты нашёл русский коммент? Привет ! Поставь лайк ПОСМОТРИМ НАСКОЛЬКО НАС МНОГО,0.1370445,0.8140708,0.048884697,0.397,0.603,0.0,-0.7845
"I wanna dislike the video, because of the facts presented in the video. But I will like it because it's well-researched and presented in a very nice fashion.",0.31733516,0.40078384,0.28188103,0.408,0.592,0.0,-0.7845
"Law surrounding everything with the internet is horribly outdated. By the time it finally catches up two decades from now, it will be behind again.",0.75304335,0.2138314,0.03312518,0.187,0.774,0.039,-0.7845
"nobody:
Jay Foreman: AAAAAAAAAAAAAAAAAAAAHHHHHH",0.24237314,0.6277939,0.12983292,0.21,0.722,0.068,-0.7845
"Thank you for addressing this! I would argue that 20 year copyright is morally right because we have a right to our own current culture as well as our history. There are psychological reasons that we find comfort in nostalgia cycles. Imagine a tribe that forbids it's young people from singing it's community songs and dancing their community dances. When you simplify current copyright to that analogy, it's no wonder young people feel entitled to connect with society in this way. The corporations have been allowed too much power to dictate culture and until the power imbalance is corrected, we'll be making criminals of our creatives.",0.2608883,0.52606666,0.213045,0.312,0.62,0.068,-0.7845
22:20 is that Evan Eddinger's bedroom?,0.06841929,0.9011836,0.030397179,0.535,0.465,0.0,-0.7845
"But what if I'm not making money out of it, not a US or EU citizen, and these law not available in my country ?",0.7306012,0.2586742,0.010724628,0.441,0.559,0.0,-0.7845
That dawm mickey mouse,0.1142856,0.7541924,0.13152194,0.066,0.934,0.0,-0.7845
I'm still in disbelief that we're listening to a 300+ years old piece of music played on a modern instrument and that we can ascertain that it's faithful to the original performance of it,0.49221128,0.43412322,0.07366551,0.165,0.835,0.0,-0.7845
41:36 makes me so stressed,0.92557555,0.067363195,0.007061292,0.664,0.336,0.0,-0.7841
"Interesting fact, the NHL allows people to make montages and compilation videos and just take the revenue. They want as many people to see the videos for publicity sake so there's an unspoken agreement you can make compilation videos for fun.",0.059732832,0.41872525,0.5215419,0.138,0.823,0.039,-0.782
Brilliant!,0.006096371,0.10151935,0.8923843,0.318,0.607,0.075,-0.7783
Plot Twist:this video was copyrighted,0.18979707,0.7667724,0.043430522,0.224,0.68,0.096,-0.7783
"that ""we bought that sample in good faith"" line was stellar. award winning. I will be using that as a sample in my next song.",0.0016637216,0.039000217,0.95933604,0.111,0.845,0.044,-0.7783
I dont know why i come back to this video every once in a while but i do and that is a testament to the Quality of this video,0.017172847,0.26911825,0.71370894,0.394,0.606,0.0,-0.7783
"If YouTube did a video like this instead of not saying anything and staying in the role of the guilty one, they would shut everyone complaining on this site up.",0.7637289,0.2219941,0.014277007,0.25,0.693,0.057,-0.7783
"2:10 no they were not
2:23 no it wasn’t
2:27 no he wasn’t
2:28 no he was not",0.3441765,0.6063648,0.049458697,0.386,0.614,0.0,-0.7783
"So you're telling me anyone who uploads kpop videos can be sued, interesting.",0.550639,0.4180592,0.031301837,0.253,0.747,0.0,-0.7783
Imo- copyright until death makes sense but then it becomes public domain,0.2001429,0.7202505,0.07960662,0.382,0.618,0.0,-0.7783
Hahhahaha legaleagle can be scared off by saying No Copyright Infringement Intended,0.5172932,0.43944514,0.043261636,0.151,0.849,0.0,-0.7783
11:57 always good to see some Legal Eagle on other channels.,0.0018809931,0.06419211,0.9339269,0.173,0.761,0.066,-0.7783
True question? How many takes it take?😅,0.093237326,0.81383294,0.09292969,0.343,0.657,0.0,-0.7783
"35 year copyright, at most. Starts with the original 20 years from public release, with an optional 15 year extension.",0.036317028,0.8858126,0.0778704,0.206,0.794,0.0,-0.7783
Internet historians been using that dudes face forever 😂😂😂😂😂,0.43386897,0.49445796,0.07167305,0.253,0.747,0.0,-0.7783
"""If someone took your greatest work, ran it through a pixelation filter and sold it; I don't think it's entirely unreasonable to think you've been ripped off.  The line of fair use is very fuzzy and both sides can have very strong and conflicting arguments.""   These two lines struck me as rather pun-like.",0.5635517,0.38565812,0.05079013,0.207,0.793,0.0,-0.7783
Does an of this change if you are not making money off of a copywriten work? For instance the video game videos. If they're posted with no minimization is that legal? All of copy write seem to depend on money being made from stolen content. But what if there's no money being made. Or lost.,0.5603175,0.40705848,0.032623988,0.438,0.562,0.0,-0.7783
And then the EU is talking about even stricter copyright laws...,0.43267024,0.51702946,0.050300296,0.169,0.75,0.081,-0.777
"My argument regarding memes would be that the nature of making a joke out of an image is an implicit review of the ""underlying circumstance"" of the image. For example any meme about ""Hide the pain Harold"" is arguably implicitly reviewing (making note of) the rather odd expression portrayed in the original photo.",0.3230585,0.6060747,0.070866905,0.381,0.619,0.0,-0.7766
This video spends way too much time defending copyright as a concept. Why would the feelings of a photographer have any impact on the morality of copyright law? I really didn't expect such a regressive approach to the topic.,0.86602527,0.124949515,0.0090252645,0.261,0.739,0.0,-0.7758
"At the end of the day, regardless of this being correct, it still sucks and it benefits huge corporations. Well made, informative, correct... still gets a thumbs down on principle.",0.82137585,0.15552546,0.023098718,0.149,0.746,0.105,-0.7757
so memes are illegal??,0.5258387,0.44215155,0.032009803,0.212,0.75,0.038,-0.775
"Tom: or being one of the biggest advertising fir.....
Youtube: (2 minute ad starts)",0.28103057,0.6447519,0.07421747,0.132,0.814,0.054,-0.7743
"How is Jay's ""quasi-legal"" or is it a pun on something and I'm too tired to get it?",0.73179275,0.25109607,0.017111136,0.151,0.786,0.063,-0.7736
"Ok Google
How to like a YouTube video twice",0.07670946,0.6117063,0.31158414,0.158,0.753,0.09,-0.7724
"70 years after the authors death isn't long enough. Your point is absolutely ridiculous. The grand children of an author should still be able to receive royalties from their work--and if a corporation makes a work, it should never enter the public domain as long as the property is still in use. What youre proposing is no better than theft of material goods. It's awful.",0.8797465,0.10920224,0.011051257,0.489,0.511,0.0,-0.7717
This video is sponsered by Youtube,0.082345374,0.8565862,0.061068382,0.606,0.394,0.0,-0.7717
"38:29 So Tom, you didnt use the word bodge. 

Unsubscribed and I'm gonna file a copyright notice

Edit:I can't spell and I fixed that",0.6749564,0.29400283,0.031040797,0.397,0.478,0.124,-0.7717
Thé biggest problem to me is the difficulty of licensing. Its especially hard with music. Tons of different copyright types and the companies wont talk to no one else but a lawyer.,0.84651774,0.14120457,0.012277712,0.162,0.784,0.054,-0.7714
👎🏻,0.10207742,0.64033043,0.25759214,0.18,0.739,0.082,-0.7713
I like the longer videos on his channel,0.0020506012,0.050083715,0.9478657,0.275,0.66,0.066,-0.7712
"Thank you thank you thank you. I've been commenting that YouTubes copyright system is broken. All they do is act on behalf of a law claim. They are middlemen reacting to someone else's claim.


Something you didnt mention was using media for news? Could I use clips of a movie, trailer, photos or images of Spiderman or Ironman if it was news content?",0.6505982,0.30878207,0.040619735,0.261,0.627,0.112,-0.7709
Most of Marvel and DC Comics characters are from the 60'. Copyrights aren't going to shorten any time soon,0.101258986,0.6983351,0.20040588,0.199,0.801,0.0,-0.7707
But what if you're not making money out of it ? Can you use anything (on youtube and/or otherwise) if you are not making any sort of money ?,0.49449837,0.48028338,0.025218278,0.299,0.701,0.0,-0.7704
"15:14 The G stands for ""graphics"" not ""jraphics""! I don't care that the creator of the GIF is a troll, just ignore him, it's a cry for attention!",0.7745596,0.19449326,0.030947078,0.356,0.644,0.0,-0.7672
I really like the cameos when it has people I know :D,0.0012431839,0.029031565,0.9697252,0.106,0.894,0.0,-0.7662
Mickey Mouse copyright expires in 3 years. I think anyone should have the right to make a living off of Mickey Mouse.,0.09750168,0.57788736,0.32461092,0.138,0.816,0.046,-0.7662
Jay Foreman's cameo made me very happy. I haven't seen him in a while,0.0017892524,0.011805715,0.986405,0.524,0.476,0.0,-0.7662
But as Spock says the needs of the many outweigh the needs of the few,0.06718124,0.73430926,0.19850951,0.182,0.773,0.045,-0.765
"Sense never seemed to make sense to me, and not the sense you administer repeatedly, I fled to the hills to clear my mind, I couldn't swallow the pills I was prescribed. I read the news but it wasn't good, 'cause the bad guys won when the good guys should.",0.8036665,0.17540073,0.020932848,0.159,0.841,0.0,-0.765
"A better compromise might be 50 years or until death. So, if someone writes a hit song or book, etc., and dies 30 years later, their descendants/relatives have another 20 years to benefit from the copyright. But if they're still alive 50 years later the copyright continues until their death...",0.37633106,0.5495752,0.07409373,0.165,0.793,0.042,-0.765
OMG... I have never watched a copyright-related video for this long...  and I might need to re-visit the video many times... it is really useful. Thank you very much Tom!,0.003956027,0.020399664,0.9756443,0.369,0.631,0.0,-0.765
why there so many eyes??,0.29012308,0.6605303,0.049346663,0.452,0.548,0.0,-0.765
"Copyright law dashes the dreams of many. They all gotta start somewhere by copying their favorite works. Once published and get a C&D, they take this ""critisism"" hard and live an uncreative, depressing life.",0.7425349,0.22463758,0.03282749,0.292,0.708,0.0,-0.765
5.20 what is that shade you are putting on nz,0.30530196,0.6644282,0.030269848,0.409,0.591,0.0,-0.765
Totally disagree with you about public domain and royalties for artists. But that's cool & nobody said that in order to like someone that you must also agree with them.,0.18049437,0.58907187,0.23043379,0.683,0.317,0.0,-0.765
14:31 Are we really going to use TheQuarterInch as an example? That basement-pissing nazi is worse than anything he tries to put in a bad light.,0.9747808,0.023282843,0.0019363409,0.223,0.777,0.0,-0.765
YESSS I used to LOVE MST3000,0.016114952,0.055999726,0.92788535,0.079,0.879,0.042,-0.765
Screw you the ending of Superliminal was cool,0.48051092,0.34804887,0.17144021,0.17,0.76,0.07,-0.7645
i havent even watched yet and i already know its big mood,0.1297519,0.4674402,0.40280786,0.279,0.721,0.0,-0.7639
"Creators of music, videos and photography are fighting for more stringent copyright laws and the ability to fight in small claims court.  Those who don't create the original art want copyright reduced.  Great video explaining the law.  If it's not yours, you can't use it.  Your right, so many people just put a line crediting photographer or original creator and think that makes it OK.  And you're right, if you are the original creator, it's frustrating as heck to have your work used without permission or compensation (stolen).  As a former photographer, I'm on the side of the artists.  If we wanted our work to be open for all to use we would sell to stock companies.  There are plenty of royalty free music and stock footage sites also.  Yes you have to pay a monthly fee, or buy credits.  That's how the artist get paid.  Just like YouTubers want to be paid each time someone watches their monetized video, an artist wants to be paid every time someone uses their art.",0.41317168,0.4600327,0.12679565,0.375,0.552,0.073,-0.7629
18:21 yay that's me with undertale I wish I can erase my memories of watching its let's play so I can enjoy it,0.024874754,0.16146776,0.8136575,0.187,0.731,0.082,-0.7626
Copyright law is almost the same as censorship.,0.6550941,0.3360257,0.008880233,0.193,0.77,0.036,-0.7605
DrDisrespect beating the system since 2010.,0.8905341,0.105032705,0.0044331313,0.076,0.924,0.0,-0.76
"What do we do for the composers, painters, sculptors and writers whose works don't become well known and commercially viable until much later in life or well after death?",0.442839,0.5259197,0.031241296,0.225,0.775,0.0,-0.7599
Now what if this video gets copyrighted,0.40130144,0.56678706,0.03191155,0.116,0.851,0.033,-0.7596
"Honestly part of the problem with copyright law and YouTube is misinformation and lack of education. Someone needs to sit down and make a 15-25 minute video that explains copyright, fair use, etc. in an simple, palletable way that's easy for everyone to understand. The basics of what is allowed and the exceptions and what isnt allowed. The video would then be widely promoted to new creators by YouTube and if someone says 'I didn't know' it wouldn't work",0.53709126,0.3980266,0.06488209,0.286,0.632,0.081,-0.7588
"So what about the case where makes a video using a song which youtube has provided and claimed it was free to use as they had purchased the relevant licenses to allow any creator to use it, but then at some later date YouTube then either sells the rights or stops purchasing the relevant licenses. If YouTube claimed they were freely available for creators to use and then later renegs on that without warning, are they not legally liable for anything? Are they not liable for any damages which the creator then incurs as a result of the lie which YouTube told them (the lie being that the songs were free to use when in fact there was a MASSIVE caveat to that)?",0.4204646,0.5360144,0.043521028,0.14,0.764,0.096,-0.7583
"Map Men, Map Men, Map Map Map Men Men Men.",0.07541141,0.83672357,0.08786507,0.148,0.76,0.092,-0.7579
I feel that copyright should be for life.  No more.  You can't make money when you're dead.,0.71462995,0.25303644,0.03233361,0.317,0.683,0.0,-0.7579
